label,method,seed,run_dir,checkpoint,mse,rmse,mae
TD3,td3,1,logs/1D\td3\0530_0427_seed_10,logs/1D\td3\0530_0427_seed_10\ckpt-200000,0.012087927859169359,0.10994511293899951,0.08185322967850418
TD3,td3,2,logs/1D\td3\0530_0427_seed_2,logs/1D\td3\0530_0427_seed_2\ckpt-200000,0.016454534868627434,0.12827523092408538,0.09266225462231198
TD3,td3,3,logs/1D\td3\0530_0427_seed_3,logs/1D\td3\0530_0427_seed_3\ckpt-200000,0.014706149581103117,0.12126891432309897,0.0851721353549788
TD3,td3,4,logs/1D\td3\0530_0427_seed_4,logs/1D\td3\0530_0427_seed_4\ckpt-200000,0.012749891589091934,0.112915417853772,0.08257340609532889
TD3,td3,5,logs/1D\td3\0530_0427_seed_5,logs/1D\td3\0530_0427_seed_5\ckpt-200000,0.013556738485879377,0.11643340794582703,0.08432022768322184
TD3,td3,6,logs/1D\td3\0530_0427_seed_6,logs/1D\td3\0530_0427_seed_6\ckpt-200000,0.013926925509466215,0.1180123955754912,0.08566800254507227
TD3,td3,7,logs/1D\td3\0530_0427_seed_7,logs/1D\td3\0530_0427_seed_7\ckpt-200000,0.014471782776806743,0.12029872308884555,0.0826700016345761
TD3,td3,8,logs/1D\td3\0530_0427_seed_8,logs/1D\td3\0530_0427_seed_8\ckpt-200000,0.013642727650907509,0.11680208752803825,0.08422086408216005
TD3,td3,9,logs/1D\td3\0530_0427_seed_9,logs/1D\td3\0530_0427_seed_9\ckpt-200000,0.012005840123945158,0.10957116465541998,0.08054172230349212
TD3,td3,10,logs/1D\td3\0530_0427_seed_10,logs/1D\td3\0530_0427_seed_10\ckpt-200000,0.012087927859169359,0.10994511293899951,0.08185322967850418
PINN (success),pinn,2,logs/1D\pinn\0530_0631_seed_2,logs/1D\pinn\0530_0631_seed_2\ckpt-200000,0.002350390421634611,0.04848082529861276,0.033625626743411734
PINN (success),pinn,3,logs/1D\pinn\0530_0631_seed_3,logs/1D\pinn\0530_0631_seed_3\ckpt-200000,0.002368853055446094,0.048670864543853075,0.036810350496496426
PINN (success),pinn,7,logs/1D\pinn\0530_0631_seed_7,logs/1D\pinn\0530_0631_seed_7\ckpt-200000,0.0022066884836895615,0.04697540296463205,0.033360351736323055
PINN (fail),pinn,4,logs/1D\pinn\0530_0631_seed_4,logs/1D\pinn\0530_0631_seed_4\ckpt-200000,0.03989841692770671,0.19974588087794629,0.14099236989419497
PINN (fail),pinn,5,logs/1D\pinn\0530_0631_seed_5,logs/1D\pinn\0530_0631_seed_5\ckpt-200000,0.04066820491179858,0.2016635934218137,0.13492148547280475
PINN (fail),pinn,6,logs/1D\pinn\0530_0631_seed_6,logs/1D\pinn\0530_0631_seed_6\ckpt-200000,0.04337306976742936,0.20826202190372917,0.1484593582424639
PINN (fail),pinn,8,logs/1D\pinn\0530_0631_seed_8,logs/1D\pinn\0530_0631_seed_8\ckpt-200000,0.03267248909855428,0.18075532937801386,0.14199925892033774
PINN (fail),pinn,9,logs/1D\pinn\0530_0631_seed_9,logs/1D\pinn\0530_0631_seed_9\ckpt-200000,0.04909427466745965,0.22157227865294804,0.1522762597240719
PINN (fail),pinn,10,logs/1D\pinn\0530_0631_seed_10,logs/1D\pinn\0530_0631_seed_10\ckpt-200000,0.04056817743582954,0.20141543494933437,0.14406733002998473
PIRL (ours),scheduling,1,logs/1D\scheduling\0530_0026_seed_10,logs/1D\scheduling\0530_0026_seed_10\ckpt-200000,0.003086819870507348,0.05555915649564298,0.041500959209460744
PIRL (ours),scheduling,2,logs/1D\scheduling\0530_0026_seed_2,logs/1D\scheduling\0530_0026_seed_2\ckpt-200000,0.0009624611410124886,0.031023557839366018,0.023293431022455933
PIRL (ours),scheduling,3,logs/1D\scheduling\0530_0026_seed_3,logs/1D\scheduling\0530_0026_seed_3\ckpt-200000,0.0025689113816699735,0.050684429380925,0.03894883011998538
PIRL (ours),scheduling,4,logs/1D\scheduling\0530_0026_seed_4,logs/1D\scheduling\0530_0026_seed_4\ckpt-200000,0.0020246172042264793,0.0449957465126036,0.03390315205325693
PIRL (ours),scheduling,5,logs/1D\scheduling\0530_0026_seed_5,logs/1D\scheduling\0530_0026_seed_5\ckpt-200000,0.0036325461518046135,0.060270607694004656,0.04537127722773095
PIRL (ours),scheduling,6,logs/1D\scheduling\0530_0026_seed_6,logs/1D\scheduling\0530_0026_seed_6\ckpt-200000,0.0016685599655512932,0.04084801054581842,0.03057983690676846
PIRL (ours),scheduling,7,logs/1D\scheduling\0530_0026_seed_7,logs/1D\scheduling\0530_0026_seed_7\ckpt-200000,0.002752925448738405,0.052468328053583,0.03980962756316661
PIRL (ours),scheduling,8,logs/1D\scheduling\0530_0026_seed_8,logs/1D\scheduling\0530_0026_seed_8\ckpt-200000,0.004178218321348738,0.06463913923737488,0.046441960762362414
PIRL (ours),scheduling,9,logs/1D\scheduling\0530_0026_seed_9,logs/1D\scheduling\0530_0026_seed_9\ckpt-200000,0.0022364992495055003,0.047291640376555984,0.034237912717011196
PIRL (ours),scheduling,10,logs/1D\scheduling\0530_0026_seed_10,logs/1D\scheduling\0530_0026_seed_10\ckpt-200000,0.003086819870507348,0.05555915649564298,0.041500959209460744
